Nav And Sales Load | MUTUAL FUNDS ASSOCIATION OF PAKISTAN

---

## NAV / Daily Prices Announcement

Report Time: 11:33:18 AM Report Date: Apr 28, 2026

AMC :

Fund :

From :

To :

Search Reset

| Sector | AMC | Fund | Category | Inception Date | Offer | Repurchase | NAV | Validity Date | Front-end | Back-end | Contingent | Market | Trustee |
| Open-End Funds | AKD Investment Management Limited | AKD Aggressive Income Fund | Aggressive Fixed Income | Mar 22, 2007 | 61.2545 | 60.5581 | 60.5581 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | AKD Alpha Income Fund | Aggressive Fixed Income | Apr 10, 2026 | 50.8807 | 50.3022 | 50.3022 | Apr 27, 2026 | 1 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | AKD Cash Fund | Money Market | Jan 20, 2012 | 56.3537 | 56.3537 | 56.3537 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | AKD Index Tracker Fund | Index Tracker | Oct 11, 2005 | 41.5222 | 41.0501 | 41.0501 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | AKD Islamic Cash Fund | Shariah Compliant Money Market | Feb 17, 2023 | 53.2995 | 53.2995 | 53.2995 | Apr 28, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | AKD Islamic Income Fund | Shariah Compliant Income | Feb 20, 2018 | 56.1476 | 55.5092 | 55.5092 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | AKD Investment Management Limited | AKD Islamic Stock Fund | Shariah Compliant Equity | Feb 20, 2018 | 111.3316 | 107.6187 | 107.6187 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | DCC |
| Open-End Funds | AKD Investment Management Limited | AKD Opportunity Fund | Equity | Mar 31, 2006 | 213.8422 | 206.7107 | 206.7107 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AKD Investment Management Limited | Golden Arrow Stock Fund | Equity | May 09, 1983 | 35.6107 | 34.4231 | 34.4231 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Islamic Pension Fund | VPS-Shariah Compliant Debt | Sep 05, 2022 | 171.5600 | 166.5631 | 166.5631 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Islamic Pension Fund | VPS-Shariah Compliant Equity | Sep 05, 2022 | 463.3252 | 449.8303 | 449.8303 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Employer Pension Funds | AL Habib Asset Management Limited | AL Habib GOKP Islamic Pension Fund | VPS-Shariah Compliant Money Market | Jan 03, 2024 | 133.2547 | 133.2547 | 133.2547 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Islamic Pension Fund | VPS-Shariah Compliant Money Market | Sep 05, 2022 | 169.8346 | 164.8880 | 164.8880 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Pension Fund | VPS-Debt | Jun 30, 2022 | 188.9489 | 183.4455 | 183.4455 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Pension Fund | VPS-Equity | Jun 30, 2022 | 534.7961 | 519.2195 | 519.2195 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Employer Pension Funds | AL Habib Asset Management Limited | AL Habib GOKP Pension Fund | VPS-Money Market | Jan 03, 2024 | 137.5041 | 137.5041 | 137.5041 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Voluntary Pension Scheme (VPS) | AL Habib Asset Management Limited | AL Habib Pension Fund | VPS-Money Market | Jun 30, 2022 | 184.5181 | 179.1438 | 179.1438 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AL Habib Asset Management Limited | AL Habib Asset Allocation Fund | Asset Allocation | Nov 08, 2017 | 129.3167 | 126.7811 | 126.7811 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AL Habib Asset Management Limited | AL Habib Cash Fund | Money Market | Mar 10, 2011 | 113.4531 | 110.1486 | 110.1486 | Apr 28, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AL Habib Asset Management Limited | AL Habib Fixed Return Fund Plan 19 | Fixed Rate / Return | Mar 06, 2025 | 107.4487 | 107.4487 | 107.4487 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
| Open-End Funds | AL Habib Asset Management Limited | AL Habib Fixed Return Fund Plan 22 | Fixed Rate / Return | May 21, 2025 | 108.7352 | 108.7352 | 108.7352 | Apr 27, 2026 | 0 | 0 | 0 | 0.00000 | CDC |
